# Preset bank H: DRIFT tones
# 001-032 bass · 033-080 stab · 081-112 keys · 113-160 lead · 161-192 pad · 193-224 scape · 225-240 noise · 241-256 fx
# slot | NAME (12 max) | recipe        | tags                   | sample on the +Drive | parameters
216 | ELEM WERP 2  | scape-werp    | Texture, Atmosphere    | DRIFT/SCAPE/modc_scape_elements-drones-10
217 | TELAH WERP 2 | scape-werp    | Texture, Atmosphere    | DRIFT/SCAPE/modc_scape_telaharmonic-drones-2
218 | ELEM WERP 3  | scape-werp    | Texture, Atmosphere    | DRIFT/SCAPE/modc_scape_elements-drones-14
219 | TELAH WERP 3 | scape-werp    | Texture, Atmosphere    | DRIFT/SCAPE/modc_scape_telaharmonic-drones-3
225 | SURF DOWN 08 | noise-surf    | Texture, Soft          | CORE/NOISE/syn_noise_down-f-08
226 | SURF SH5     | noise-surf    | Texture, Soft          | CORE/NOISE/sh5_noise_hissmachine-c3
227 | SURF VNL     | noise-surf    | Texture, Soft          | CORE/NOISE/vdrm_noise_fx-loop-01
228 | SURF RES SWP | noise-surf    | Texture, Soft          | CORE/NOISE/syn_noise_res-00-sweep-00-a-01
229 | SURF VNL 2   | noise-surf    | Texture, Soft          | CORE/NOISE/vdrm_noise_fx-static-long-01
230 | SURF VNL 3   | noise-surf    | Texture, Soft          | CORE/NOISE/vdrm_noise_fx-loop-02
241 | CHIRP REV    | fx-reverse    | Sound Fx, Atmosphere   | DRIFT/SCAPE/dx1_scape_chirpfx-c6
242 | BELL REVERSE | fx-reverse    | Sound Fx, Metallic     | DRIFT/BELL/dx1_bell_fmbellfx-ds6
243 | REV DX CHIRP | fx-reverse    | Sound Fx, Atmosphere   | DRIFT/SCAPE/dx1_scape_chirpfx-a2
244 | REV DX CHI 2 | fx-reverse    | Sound Fx, Atmosphere   | DRIFT/SCAPE/dx1_scape_chirpfx-cs1
245 | REV DX CHI 3 | fx-reverse    | Sound Fx, Atmosphere   | DRIFT/SCAPE/dx1_scape_chirpfx-e4
246 | REV AIR      | fx-reverse    | Sound Fx, Metallic     | DRIFT/BELL/kawa_bell_air-c3
247 | REV DX FM    | fx-reverse    | Sound Fx, Metallic     | DRIFT/BELL/dx1_bell_fmbellfx-e3
248 | REV MLLT     | fx-reverse    | Sound Fx, Metallic     | DRIFT/BELL/360_bell_mallet-multi-filter-c3
249 | REV DX       | fx-reverse    | Sound Fx, Metallic     | DRIFT/BELL/dx1_bell_tbells-c3
250 | REV DX FM 2  | fx-reverse    | Sound Fx, Metallic     | DRIFT/BELL/dx1_bell_fmbellfx-e6
