# Preset bank C: RITE drums
# 001-024 low · 025-048 snap · 049-072 hat · 073-096 metal · 097-160 hand · 161-192 wood · 193-224 slice · 225-256 loop
# slot | NAME (12 max) | recipe        | tags                   | sample on the +Drive | parameters
215 | SL CARD 3 13 | slice-grid    | Loop, Acoustic         | RITE/LOOP/ekko_loop_card-3-full-b-color-13
216 | SL CHA CYM   | slice-grid    | Loop, Acoustic         | RITE/LOOP/visc_loop_cha-cha-1-top-perc-cym
217 | SL DISCO 130 | slice-grid    | Loop, Acoustic         | RITE/LOOP/ekko_loop_disco-full-c-color-130
218 | SL HYPER 140 | slice-grid    | Loop, Acoustic         | RITE/LOOP/ekko_loop_perc-hyper-color-140
219 | SL INTR TIME | slice-grid    | Loop, Acoustic         | RITE/LOOP/mpop_loop_interstellar-half-time
220 | SL KNOCK 140 | slice-grid    | Loop, Acoustic         | RITE/LOOP/ekko_loop_knock-full-b-140
221 | SL MS RCCR   | slice-grid    | Loop, Acoustic         | RITE/LOOP/mpop_loop_mouse-racecar-122
222 | SL PLNT SPLT | slice-grid    | Loop, Acoustic         | RITE/LOOP/mpop_loop_plantain-splat-123
225 | LP 125 PATA  | loop-stretch  | Loop, Acoustic         | RITE/LOOP/skin_loop_125-pata-full
226 | LP 100 IKO   | loop-stretch  | Loop, Acoustic         | RITE/LOOP/skin_loop_100-iko-full
227 | LP 6-8 EKKO  | loop-stretch  | Loop, Acoustic         | RITE/LOOP/ekko_loop_12-step-full-a-6-8-100
228 | LP 160 ROLL  | loop-stretch  | Loop, Acoustic         | RITE/LOOP/skin_loop_160-roll-full
229 | LP 95 SQRPG  | loop-stretch  | Loop, Acoustic         | RITE/LOOP/skin_loop_95-squarepeg-full
230 | LP CARD 3 13 | loop-stretch  | Loop, Acoustic         | RITE/LOOP/ekko_loop_card-3-full-b-color-13
231 | LP DISCO 130 | loop-stretch  | Loop, Acoustic         | RITE/LOOP/ekko_loop_disco-full-c-color-130
232 | LP KNOCK 140 | loop-stretch  | Loop, Acoustic         | RITE/LOOP/ekko_loop_knock-full-b-140
233 | LP SLIDER 14 | loop-stretch  | Loop, Acoustic         | RITE/LOOP/ekko_loop_slider-full-d-color-14
234 | LP ZORRO 120 | loop-stretch  | Loop, Acoustic         | RITE/LOOP/ekko_loop_zorro-full-b-120
